variable,ID,strain,media,condition,biorep,techrep,expt
126,WT+none,WT,CDM,none,2,2,2021_sugar2_hbt
127,trmB+25mM ribose,trmB,CDM,25mM ribose,2,3,2021_sugar2_hbt
128,trmB+25mM glycerol,trmB,CDM,25mM glycerol,2,3,2021_sugar2_hbt
129,trmB+25mM acetate,trmB,CDM,25mM acetate,1,2,2021_sugar2_hbt
132,trmB+25mM glycerol,trmB,CDM,25mM glycerol,1,1,2021_sugar2_hbt
133,WT+none,WT,CDM,none,1,7,2021_sugar2_hbt
134,WT+25mM fructose,WT,CDM,25mM fructose,1,1,2021_sugar2_hbt
135,trmB+none,trmB,CDM,none,1,5,2021_sugar2_hbt
136,trmB+25mM sucrose,trmB,CDM,25mM sucrose,2,3,2021_sugar2_hbt
137,WT+25mM glucose,WT,CDM,25mM glucose,2,3,2021_sugar2_hbt
138,trmB+25mM galactose,trmB,CDM,25mM galactose,1,3,2021_sugar2_hbt
139,WT+25mM ribose,WT,CDM,25mM ribose,2,1,2021_sugar2_hbt
143,WT+25mM ribose,WT,CDM,25mM ribose,1,2,2021_sugar2_hbt
144,trmB+25mM glucose,trmB,CDM,25mM glucose,1,1,2021_sugar2_hbt
145,WT+25mM glucose,WT,CDM,25mM glucose,2,2,2021_sugar2_hbt
146,trmB+25mM galactose,trmB,CDM,25mM galactose,1,2,2021_sugar2_hbt
147,trmB+25mM xylose,trmB,CDM,25mM xylose,2,2,2021_sugar2_hbt
148,WT+25mM xylose,WT,CDM,25mM xylose,1,3,2021_sugar2_hbt
149,trmB+25mM galactose,trmB,CDM,25mM galactose,2,3,2021_sugar2_hbt
152,WT+25mM ribose,WT,CDM,25mM ribose,2,3,2021_sugar2_hbt
153,trmB+25mM sucrose,trmB,CDM,25mM sucrose,2,2,2021_sugar2_hbt
155,WT+25mM sucrose,WT,CDM,25mM sucrose,1,3,2021_sugar2_hbt
156,WT+25mM galactose,WT,CDM,25mM galactose,1,1,2021_sugar2_hbt
157,trmB+25mM ribose,trmB,CDM,25mM ribose,2,1,2021_sugar2_hbt
158,WT+25mM glucose,WT,CDM,25mM glucose,1,3,2021_sugar2_hbt
159,trmB+25mM xylose,trmB,CDM,25mM xylose,1,3,2021_sugar2_hbt
162,WT+25mM galactose,WT,CDM,25mM galactose,1,3,2021_sugar2_hbt
163,WT+25mM acetate,WT,CDM,25mM acetate,1,3,2021_sugar2_hbt
165,trmB+25mM xylose,trmB,CDM,25mM xylose,2,3,2021_sugar2_hbt
166,trmB+25mM glucose,trmB,CDM,25mM glucose,1,3,2021_sugar2_hbt
167,trmB+25mM acetate,trmB,CDM,25mM acetate,2,3,2021_sugar2_hbt
168,WT+25mM galactose,WT,CDM,25mM galactose,2,3,2021_sugar2_hbt
169,trmB+25mM glucose,trmB,CDM,25mM glucose,1,2,2021_sugar2_hbt
172,trmB+none,trmB,CDM,none,1,1,2021_sugar2_hbt
173,WT+25mM sucrose,WT,CDM,25mM sucrose,2,2,2021_sugar2_hbt
174,WT+25mM galactose,WT,CDM,25mM galactose,2,1,2021_sugar2_hbt
175,WT+25mM ribose,WT,CDM,25mM ribose,1,3,2021_sugar2_hbt
176,WT+25mM acetate,WT,CDM,25mM acetate,1,2,2021_sugar2_hbt
177,WT+25mM glycerol,WT,CDM,25mM glycerol,2,2,2021_sugar2_hbt
178,trmB+25mM pyruvate,trmB,CDM,25mM pyruvate,1,2,2021_sugar2_hbt
179,WT+none,WT,CDM,none,1,1,2021_sugar2_hbt
182,trmB+25mM galactose,trmB,CDM,25mM galactose,2,2,2021_sugar2_hbt
183,trmB+25mM acetate,trmB,CDM,25mM acetate,1,3,2021_sugar2_hbt
184,trmB+25mM pyruvate,trmB,CDM,25mM pyruvate,2,1,2021_sugar2_hbt
185,trmB+25mM glycerol,trmB,CDM,25mM glycerol,1,2,2021_sugar2_hbt
186,trmB+25mM glucose,trmB,CDM,25mM glucose,2,2,2021_sugar2_hbt
187,WT+25mM xylose,WT,CDM,25mM xylose,2,3,2021_sugar2_hbt
188,WT+25mM fructose,WT,CDM,25mM fructose,1,2,2021_sugar2_hbt
189,trmB+none,trmB,CDM,none,1,8,2021_sugar2_hbt
