4774_H3_S63_L004_R1_001_trimmed_sorted.bam,4774_G5_S78_L004_R1_001_trimmed_sorted.bam,HCA_WT_0glu_A,104
4774_A8_S96_L004_R1_001_trimmed_sorted.bam,4774_H10_S119_L004_R1_001_trimmed_sorted.bam,HCA_WT_0glu_B,213
4774_C5_S74_L004_R1_001_trimmed_sorted.bam,4774_D3_S59_L004_R1_001_trimmed_sorted.bam,HCA_trmB_0glu_A,104
4774_D2_S51_L004_R1_001_trimmed_sorted.bam,4774_H6_S87_L004_R1_001_trimmed_sorted.bam,HCA_trmB_0.1glu_A,167
4774_B4_S65_L004_R1_001_trimmed_sorted.bam,4774_D12_S130_L004_R1_001_trimmed_sorted.bam,HCA_trmB_0glu_B,200
4774_A11_S120_L004_R1_001_trimmed_sorted.bam,4774_E9_S108_L004_R1_001_trimmed_sorted.bam,HCA_trmB_0.1glu_B,103
4774_E7_S92_L004_R1_001_trimmed_sorted.bam,4774_B5_S73_L004_R1_001_trimmed_sorted.bam,HCA_trmB_0glu_C,103
4774_E10_S116_L004_R1_001_trimmed_sorted.bam,4774_B12_S128_L004_R1_001_trimmed_sorted.bam,HCA_trmB_0glu_D,204
