"","10_WT_B_S18","11_WT_C_S19","12_WT_D_S20","13_TRMB_A_S21","16_TRMB_D_S24","1_WT_A_S9","2_WT_B_S10","3_WT_C_S11","4_WT_D_S12","5_TRMB_A_S13","7_TRMB_C_S15","9_WT_A_S17","aBWT_C_noglu_24_S20_SP","aCWT_D_noglu_24_S21_SP","RWT_A_glu_24_S41_S1","SWT_B_glu_24_S16_SP","TWT_C_glu_24_S17_SP","UWT_D_glu_24_S46_S1","ZWT_A_noglu_24_S47_S1"
"HAH_RS05305",393,543,215,67,72,180,137,104,127,100,134,369,3536,2379,534,481,472,463,2913
"HAH_RS05310",4723,6092,3209,2712,3084,6858,7008,4284,4534,6995,6371,5345,7702,7962,3608,4638,4310,4231,8641
"HAH_RS05315",656,635,554,273,255,597,479,350,410,466,516,742,1040,1065,572,691,645,604,1178
"HAH_RS05320",1903,2788,1187,1345,1839,2241,2232,1430,1502,2100,2257,2157,4430,4393,3202,3795,3163,2682,4143
"HAH_RS05325",10712,13571,7955,11901,14816,9947,12254,8584,6600,11596,14673,11165,17703,16569,8688,11219,8216,5533,19983
"HAH_RS05330",695,693,599,718,684,1035,1039,701,771,1017,971,711,895,882,776,999,996,955,1195
"HAH_RS05335",916,1587,894,389,410,1178,1024,872,574,878,884,1016,2754,2301,2618,2864,3672,2532,2328
"HAH_RS05340",3226,4109,2757,3101,3395,7064,5928,3688,3856,5598,5205,4047,5168,5675,4909,6060,9092,8467,5744
"HAH_RS05345",1371,1268,1379,825,1116,3314,2644,1914,1428,2176,1343,1794,2079,2055,2277,2964,4512,3920,2556
"HAH_RS05350",1968,1437,1509,1866,2121,1808,1396,882,1260,1226,1326,1960,2343,2706,1589,1726,1933,2319,2963
"HAH_RS05355",118,93,121,119,132,159,175,92,126,166,153,129,146,155,89,101,113,146,174
"HAH_RS05360",742,785,792,781,866,848,954,618,551,880,825,768,1438,1416,740,814,703,682,1548
"HAH_RS05365",149,153,109,85,115,81,73,76,60,72,81,138,332,232,268,274,141,80,297
"HAH_RS05370",173,224,106,89,84,186,172,127,115,158,214,143,415,350,358,325,306,221,412
"HAH_RS05375",13999,19956,12114,11726,14155,8727,6327,4924,4618,6427,7303,15254,31946,22938,17671,15024,12712,9762,25261
"HAH_RS05380",2847,3699,2102,2464,2691,3116,3041,1862,1889,2986,2303,3390,5340,4443,3179,4074,3477,2673,4778
"HAH_RS05385",1173,1365,798,1057,1310,1201,1017,823,732,977,1131,1309,2242,1797,1610,1596,1443,1307,2184
"HAH_RS05390",7674,9442,5776,6080,6868,8813,7847,5193,5791,7494,7109,8285,13619,12818,11712,12321,10576,9485,12074
"HAH_RS05395",9144,10827,4505,3364,4211,5688,3389,2306,3018,2593,3067,9346,22582,15388,12169,9459,9882,10027,26216
"HAH_RS05400",1186,1281,709,636,683,1415,1477,826,1070,1436,1317,1274,1463,1544,699,874,837,739,1589
"HAH_RS05405",1292,1722,957,1062,1238,1661,1585,961,1058,1668,1429,1424,2032,2142,920,968,1068,1037,2307
"HAH_RS05410",2940,3442,1889,2800,3100,3539,3676,2321,2560,3688,3466,3172,4537,5141,2281,2726,2460,2277,5105
"HAH_RS05415",388,513,450,263,282,316,230,215,151,219,323,445,1139,884,539,599,524,381,970
