"","10_WT_B_S18","11_WT_C_S19","12_WT_D_S20","13_TRMB_A_S21","16_TRMB_D_S24","1_WT_A_S9","2_WT_B_S10","3_WT_C_S11","4_WT_D_S12","5_TRMB_A_S13","7_TRMB_C_S15","9_WT_A_S17","aBWT_C_noglu_24_S20_SP","aCWT_D_noglu_24_S21_SP","RWT_A_glu_24_S41_S1","SWT_B_glu_24_S16_SP","TWT_C_glu_24_S17_SP","UWT_D_glu_24_S46_S1","ZWT_A_noglu_24_S47_S1"
"HAH_RS00005",3866,5438,3995,2604,3439,8402,6229,4656,5006,6676,8837,5239,15012,16035,7933,7608,10494,15504,15658
"HAH_RS00010",6558,7496,5209,4625,5337,13735,9266,6492,7995,9924,8819,7965,13499,14246,8719,10579,13935,18924,11769
"HAH_RS00015",2295,3556,2367,750,730,6258,3913,3359,3710,4115,4376,3006,4941,6549,5232,6501,10411,16597,4462
"HAH_RS00020",7068,8020,5844,3152,3096,16037,12739,8105,8885,14135,11778,8129,13712,17243,5733,7622,11667,16819,15692
"HAH_RS00025",7646,12008,5506,10487,12864,9845,6786,5363,4909,7643,7618,9834,21860,21697,9390,12908,11431,12074,15735
"HAH_RS00030",2045,1992,1433,1153,1463,3976,3253,2082,2927,3199,3139,2521,3122,4228,2236,3099,4224,5284,3530
"HAH_RS00035",98,121,85,44,43,111,102,95,85,102,89,124,234,247,119,157,180,238,176
"HAH_RS00040",6227,9808,4894,4372,4412,11800,9972,7555,6265,9852,9913,6941,21801,21819,12114,14930,15483,14544,17753
"HAH_RS00045",415,494,350,352,358,558,487,378,345,453,442,479,1117,982,675,784,646,583,903
"HAH_RS00050",2501,2992,1845,1241,1351,2924,2576,1925,1823,2536,2628,2821,5468,5617,3006,3371,3545,3998,4841
"HAH_RS00055",485,523,329,177,156,937,884,572,667,868,759,627,660,924,459,697,965,1306,714
"HAH_RS00060",4653,4725,4115,3585,3640,6728,5815,3714,4250,6064,5257,5754,9120,9561,4840,6776,6382,7046,9739
"HAH_RS00065",7065,11219,4672,6568,8037,16298,13650,10578,9220,12532,14896,8667,18329,19347,17158,20268,24797,23859,15975
"HAH_RS00070",1320,1315,805,776,743,2287,2013,1745,1673,1762,2251,1350,2901,2945,3054,4106,4493,4373,2585
"HAH_RS00075",190,236,164,98,86,143,177,191,106,153,218,168,655,600,465,539,469,274,745
"HAH_RS00080",49,90,73,54,55,160,182,243,114,158,214,67,122,211,165,311,288,297,161
"HAH_RS00085",2945,4222,1789,1097,1342,2446,2149,1893,1629,1920,1936,2994,11330,10130,8332,8693,7125,5189,8218
"HAH_RS00090",3813,3498,3129,3266,3584,6869,5062,3241,4140,4995,5372,4651,6941,7889,3827,4823,6320,8274,7124
"HAH_RS00095",69,60,69,73,83,66,79,67,73,72,101,67,336,309,124,186,169,160,314
"HAH_RS00100",1195,1189,912,789,827,2386,2114,1417,1722,2117,1917,1482,1527,2231,1343,1932,2611,3274,1837
"HAH_RS00105",717,835,469,438,434,1056,872,661,690,931,890,913,1182,1292,944,1134,1258,1330,1101
"HAH_RS00110",3689,4866,3402,3366,3624,7305,6868,5011,4236,6760,6235,4167,11004,11330,6109,8397,8319,8770,9536
"HAH_RS00115",932,1339,769,895,1030,1802,1334,1054,975,1298,1202,1248,2363,2422,1597,1792,2023,2115,2190
"HAH_RS00120",164,108,110,40,48,299,176,136,172,177,153,198,116,226,109,178,180,214,183
"HAH_RS00125",207,206,122,143,144,252,199,151,155,223,183,215,493,576,392,492,619,677,484
"HAH_RS00130",162,180,102,46,32,238,211,178,188,194,207,178,327,400,234,291,397,555,250
"HAH_RS00135",4255,4879,3419,3865,4071,8658,7344,5268,5077,7619,6406,5181,7489,7706,4648,5843,6792,8109,7499
"HAH_RS00140",1866,2146,1330,1133,1121,3787,3820,3010,2169,3845,3604,2223,3080,3594,2671,4145,4102,4107,2924
"HAH_RS00145",2241,3058,1508,1297,1373,3214,2938,2319,2195,2955,2691,2511,6859,6144,4326,5813,4949,4451,4995
"HAH_RS00150",606,881,498,326,356,1374,1008,941,881,958,1223,806,2839,2782,2552,2902,3985,5072,2405
"HAH_RS00155",30233,40264,18255,43979,52751,110930,95855,68014,59360,94445,81799,40782,72736,107842,95814,108766,133463,139513,56822
"HAH_RS00160",16516,23307,10401,22803,27141,65877,56793,40606,33705,56323,48283,23157,44541,62019,57921,64136,82772,84759,37408
"HAH_RS00165",792,893,571,487,528,1133,875,557,834,957,796,921,1512,1939,832,1044,1268,1783,1481
"HAH_RS00170",9398,12144,7730,12006,14001,10455,8083,7079,4828,7662,8311,11155,18874,18882,14405,15152,15921,16125,16327
"HAH_RS00175",3640,4074,2654,2113,2157,6767,5617,3468,4069,5772,4493,4591,4269,5703,2793,3737,4377,5513,5455
"HAH_RS00180",211,94,274,81,74,412,280,138,174,174,154,241,84,144,73,155,240,235,210
"HAH_RS19060",5040,6630,2697,4116,6189,13282,13714,12026,9107,12532,15453,6189,28274,29423,42082,54093,36683,22935,18168
"HAH_RS00190",1247,1662,637,751,983,2870,2920,2767,1828,2647,3114,1507,4751,4943,8370,9846,7708,4819,3922
"HAH_RS00195",1463,2025,965,772,785,2850,3016,2964,1880,2790,3180,1607,4312,4208,4434,7366,5691,4436,3270
"HAH_RS00200",1231,1807,1085,1080,1154,1619,1647,1356,1022,1624,1846,1376,5082,4031,2788,3092,2879,2365,4091
"HAH_RS00205",349,432,254,256,271,469,362,316,290,343,433,348,806,891,715,925,1004,991,671
"HAH_RS00210",15783,19079,10841,12589,14226,33936,32447,20866,22011,34775,26265,19348,23793,32597,12258,17909,21922,27774,26007
"HAH_RS00215",10086,14730,8387,5466,5816,16794,17917,14386,9532,17449,16102,11616,23266,24840,10643,14998,16704,18028,18977
"HAH_RS19780",404,573,339,240,267,639,512,369,272,444,389,499,437,532,438,536,485,572,353
"HAH_RS00220",3067,3867,2556,1520,1785,4405,3399,2308,2598,3525,3466,3426,8636,10213,4226,4678,5209,5034,8212
"HAH_RS00225",414,160,462,134,115,663,459,323,430,382,386,426,223,273,173,332,387,457,389
"HAH_RS00230",486,690,355,251,242,1119,1064,824,708,949,973,672,1241,1548,907,1230,1583,1976,1200
"HAH_RS00235",142,157,127,72,57,342,318,246,189,334,347,211,420,453,324,448,541,647,368
"HAH_RS00240",8986,12140,7205,5959,6377,23666,22403,18634,14538,22956,27261,11739,36245,38821,23550,31576,34248,37307,30796
"HAH_RS00245",860,941,590,364,357,2180,1744,1175,1404,1674,1601,1014,1411,1904,1232,1639,2049,2634,1599
"HAH_RS00250",83,78,72,56,51,150,131,129,59,135,129,73,181,195,197,210,264,295,169
"HAH_RS00255",419,427,373,350,347,732,775,714,408,772,655,451,972,946,702,1205,1171,1215,746
"HAH_RS00260",93,73,81,55,48,208,221,245,147,207,208,98,150,188,175,300,349,368,142
"HAH_RS00265",31,32,30,21,27,80,93,80,40,80,67,56,49,89,63,117,134,166,48
"HAH_RS00270",135,82,59,56,57,246,203,109,171,199,167,163,207,238,195,272,344,422,168
"HAH_RS00275",1481,1481,998,763,824,1968,1717,1148,965,1735,1199,1599,5899,4925,3315,4474,4437,4297,4257
"HAH_RS00280",3325,5101,2331,1573,1955,6292,5921,4270,3736,5948,5380,3838,9712,10174,6653,8058,8230,8632,8243
"HAH_RS00285",1143,1725,755,346,422,1273,1077,766,717,931,937,1334,4054,3797,3244,4022,3307,3245,3275
"HAH_RS00290",667,1094,300,153,177,1002,952,875,521,802,972,693,1665,1505,2851,3247,2881,1948,1241
"HAH_RS00295",3464,2768,3234,2737,2908,4692,4723,3188,2651,4895,3156,4137,7775,7098,3161,5530,4654,3673,7531
"HAH_RS00300",3465,3765,2723,3235,3910,5176,6066,4360,3279,5598,6481,3681,6656,6741,3461,5069,4357,4145,6765
"HAH_RS00305",1752,1830,1066,1531,1647,2732,2266,1498,1261,2327,2485,2227,1962,2128,1102,1404,1351,1509,2304
"HAH_RS00310",3418,4279,2072,1556,1876,6001,4780,2767,3048,4637,4403,4170,2554,2655,2637,2746,3193,3262,3123
"HAH_RS00315",41567,56186,27117,25430,31747,120491,99711,70721,68739,106214,120944,55169,23626,28987,26855,40738,42685,37753,33337
"HAH_RS00320",1851,1707,1394,871,982,2502,2680,1818,1980,2241,2068,2016,4053,3946,2761,3999,4202,3908,3770
"HAH_RS00325",2062,2456,1326,996,982,2860,2789,1807,2102,2475,2558,2269,6660,6666,4497,5898,5458,5764,5633
"HAH_RS00330",2793,3145,2059,1098,1180,4241,4417,2725,3155,4488,3404,2862,4646,5065,2123,3454,3634,3664,4212
"HAH_RS00335",1880,1757,1158,693,703,3503,3647,2287,2841,3610,3544,2006,3046,3749,2137,3205,3679,4020,2884
"HAH_RS00340",1599,1751,1203,728,743,3793,3454,2115,2487,3471,3227,2044,2731,3594,1518,2325,3155,4183,2983
"HAH_RS00345",176,167,188,150,131,279,321,195,195,300,292,211,482,509,199,340,308,335,492
"HAH_RS00350",1863,1797,1381,944,897,3207,2748,1812,2183,2716,2258,2154,3330,4119,3507,4846,5252,4932,3290
"HAH_RS00355",430,489,346,394,372,905,919,757,562,938,819,453,679,888,520,888,843,888,763
"HAH_RS00360",682,663,577,717,710,1132,1298,1007,780,1311,1244,757,1081,1301,801,1230,1185,1234,1228
"HAH_RS00365",3548,3927,2603,3051,3329,6176,5520,4076,4218,6031,5314,4257,5954,6564,3463,5052,5350,6029,5730
"HAH_RS00370",295,401,207,118,132,819,643,565,569,684,765,400,413,583,422,638,825,965,460
"HAH_RS00375",1563,1526,1175,1159,1100,2872,2414,1599,1691,2611,1719,2033,3213,3510,2096,2973,3236,3630,2831
"HAH_RS00380",56,41,36,21,36,58,45,54,36,47,74,50,116,114,73,98,100,136,122
"HAH_RS00385",1140,1052,908,1507,1534,915,873,717,538,784,766,1154,1674,1575,719,1056,1049,1017,1524
"HAH_RS00390",2979,2535,2355,2710,2954,1925,1398,967,1072,1174,1336,3050,4275,3347,1586,1587,2154,1807,3924
"HAH_RS00395",842,1248,648,715,796,1348,1059,776,792,1050,950,1082,2142,2364,1627,2181,2139,2175,1772
"HAH_RS00400",872,1202,617,545,651,1357,1255,940,787,1109,1140,1067,2101,2123,1836,2130,2162,2067,1762
"HAH_RS19065",1358,1041,1147,797,735,2598,2208,1501,1616,1973,2184,1506,1859,2222,1904,2806,3810,4982,3144
"HAH_RS00405",1462,1689,1053,1136,1259,2541,2250,1597,1739,2293,2134,1685,2969,3445,2739,3674,3929,4091,2460
"HAH_RS00410",4034,3605,4128,2551,3598,12483,11559,8395,5695,9698,6582,6315,9490,11038,6030,9592,11329,13277,10778
"HAH_RS00415",5864,9485,4666,3842,4556,9118,8029,6139,4841,7776,7898,6928,19923,17119,10983,12723,11969,10586,14519
"HAH_RS00420",717,1087,580,406,413,1246,1037,755,606,1031,980,840,2125,1778,1329,1467,1633,1321,1668
"HAH_RS00425",171,164,158,105,86,405,418,316,194,345,304,192,517,571,821,1037,1165,1034,449
"HAH_RS00430",6474,8492,4887,6092,6709,14208,12999,9672,9465,13132,14174,8248,16942,17492,12138,15936,19441,20841,15241
"HAH_RS00435",641,795,516,453,512,1046,1127,762,677,975,1041,646,1999,2429,1464,1936,2482,2903,1556
"HAH_RS00440",7210,11259,4376,5439,6925,10816,10066,8407,6432,10240,9976,8241,22778,24203,17953,21659,21852,17286,18013
"HAH_RS00445",13360,18905,9826,6071,7021,25517,22448,15838,15792,23686,19572,16115,28580,31284,18044,22462,25328,27175,25353
"HAH_RS00450",346,330,330,270,341,556,483,395,364,463,574,398,389,470,496,544,520,636,306
"HAH_RS19785",10,11,7,4,4,28,14,24,8,17,21,17,35,32,66,55,68,60,25
"HAH_RS00455",1617,2532,813,668,791,1462,1073,839,790,971,1211,1890,5864,5433,5064,6792,4930,4209,4494
"HAH_RS00460",6856,8217,7187,5776,7560,6597,7127,7460,5939,6359,11471,8102,10240,10960,8858,9608,8482,6756,7020
"HAH_RS00465",300,408,151,241,206,316,323,202,185,277,239,281,893,670,346,370,376,303,717
"HAH_RS00470",2270,3365,1450,895,988,922,908,1349,673,804,1094,2104,10003,7526,5763,6549,3160,1661,6289
"HAH_RS00475",8629,12224,7155,1877,1873,10408,9350,7154,6954,9933,9963,10437,18525,18835,9096,12263,12883,13613,17401
"HAH_RS00480",165,170,148,42,31,177,157,132,154,179,154,181,481,490,344,430,468,525,443
"HAH_RS00485",1589,1732,1350,1052,1189,2982,2748,1738,1822,2812,2248,1795,3209,3550,1960,2860,3099,3637,3202
"HAH_RS00490",735,901,638,319,337,1017,956,704,685,889,830,847,1583,1449,1268,1567,1784,1990,1094
"HAH_RS00495",1585,1851,1290,1067,1121,2666,2310,1766,1621,2274,1838,1836,3560,3600,2473,3685,3379,3308,2886
"HAH_RS00500",3124,3929,2156,1376,1647,2663,2389,2152,1760,2122,2273,3201,11454,9997,6680,8925,6842,5716,8718
"HAH_RS00505",18960,21495,14892,21691,25210,39319,35646,24902,22838,36494,30433,22922,37108,40730,21585,31493,37948,42623,33100
"HAH_RS00510",4446,5077,3392,3805,4032,9713,8817,6132,6097,8630,7624,5303,8865,9840,5646,7868,10400,10638,8395
"HAH_RS00515",10240,11512,7294,7627,8105,22848,19843,13478,13757,20577,18674,12310,18738,20551,13023,16870,22085,25770,17827
"HAH_RS00520",2141,1725,1686,1497,1453,3343,2827,1688,2520,2574,2256,2314,4181,4260,3016,3593,5314,5372,4424
"HAH_RS00525",3020,3437,2503,3277,3290,7908,7440,5315,4842,7784,6827,3647,5450,6045,4027,5791,7501,8586,5605
"HAH_RS19430",157,128,151,96,102,165,159,183,107,111,191,144,295,262,341,579,423,284,319
"HAH_RS00530",3406,4174,2647,1960,2259,4563,4215,2618,3062,4526,3501,3862,9263,9147,3737,5258,4901,4712,8192
"HAH_RS00535",252,258,251,230,240,556,470,353,304,498,483,296,695,721,422,628,651,620,748
"HAH_RS00540",49,45,36,57,51,158,151,134,74,140,152,78,93,78,79,131,125,166,100
"HAH_RS00545",1484,2008,1237,1479,1603,2988,2404,1718,1683,2427,2348,1924,3292,3386,2377,2969,3304,3516,2922
"HAH_RS00550",353,389,327,393,492,731,801,596,465,838,653,412,893,765,506,852,714,670,774
"HAH_RS00555",2988,4248,2126,2239,2529,5766,5318,4079,3455,5329,5816,3738,8563,9093,4884,6699,8526,8558,6960
"HAH_RS00560",318,391,204,135,127,508,484,466,320,420,504,406,754,776,532,753,1057,881,625
"HAH_RS00565",15944,19933,9719,9911,11129,32151,28390,18195,20291,29774,24540,20289,25297,28836,15713,21536,25146,29757,23610
"HAH_RS00570",549,855,355,299,374,982,990,923,662,975,1042,646,1194,1326,997,1354,1300,1170,1076
"HAH_RS19790",222,127,608,245,218,232,210,161,149,217,163,253,247,226,238,280,273,295,298
"HAH_RS00575",3173,3685,2858,3257,3762,6035,6112,4099,4107,6197,5998,3704,6708,7321,3617,5201,5661,6224,6144
"HAH_RS00580",1257,823,971,901,846,1805,1711,913,1250,1677,1567,1393,1511,2038,820,1308,1420,1786,1888
"HAH_RS00585",791,914,658,1250,1267,1494,1234,947,910,1503,1315,933,1891,1888,1347,1800,1933,2318,1661
"HAH_RS00590",750,712,455,463,428,1104,1014,711,931,1102,873,821,1350,1710,864,1276,1427,1674,1267
"HAH_RS00595",524,613,361,277,320,786,681,531,574,646,648,636,1006,1338,703,775,1268,1580,865
"HAH_RS00600",7283,7910,6138,5150,5507,5887,4977,3733,3961,4931,5382,7863,17368,13024,9783,10788,9510,8040,13590
"HAH_RS00605",3285,4105,2680,1436,1644,8257,7669,6131,5743,7550,8220,3816,7768,8254,6442,9255,11960,12450,7928
"HAH_RS00610",6076,7010,5268,4403,5089,13757,10867,8590,7955,10867,12717,8058,18041,20068,12504,16760,21129,25054,16983
"HAH_RS00615",1070,1706,693,994,955,2922,2860,1437,1194,3297,1757,1211,2297,2161,1646,2207,2514,2082,1880
"HAH_RS00625",3420,2948,2385,1942,1919,6558,5554,3592,4402,5857,5041,4155,4198,5128,2495,4059,4873,5958,4570
"HAH_RS00630",597,1240,384,441,985,1375,1103,543,793,1311,969,887,1199,1351,530,871,2580,1440,1293
"HAH_RS00635",93,108,52,50,82,182,129,76,103,129,111,87,103,106,74,104,309,279,135
"HAH_RS00640",7366,11555,7659,2767,3028,21382,16124,11759,11288,17701,17565,9551,14946,17080,10202,14315,19947,30441,13798
"HAH_RS00645",7713,11009,7538,5386,6447,22548,17808,11825,12465,19089,15299,10207,16873,17844,10003,14758,18851,23612,14005
"HAH_RS00650",2379,3391,2137,1609,1706,6664,5670,3738,3875,5926,4999,2985,5264,5652,3371,4781,6686,8672,4369
"HAH_RS00655",1885,1976,2014,1457,1454,3621,3108,2048,1947,3094,2994,2144,4300,4418,2493,3733,3706,4093,4098
"HAH_RS00660",7162,10611,5950,4593,5540,8904,9294,6490,5318,9151,6719,8036,21114,16558,10301,13350,10240,8148,15645
"HAH_RS00665",5468,7657,4398,4532,5338,9135,8948,7736,5427,8261,9145,6168,13201,13196,9329,11065,11832,11665,11144
"HAH_RS00670",2733,2727,2236,2626,2761,3543,3176,2146,2111,2889,3390,2928,5770,6012,2751,3568,3804,3532,6150
"HAH_RS00675",353,410,296,230,228,553,509,433,323,433,441,413,951,964,759,1105,1125,874,736
"HAH_RS00680",1185,1273,901,781,899,2327,2558,1652,1718,2716,1961,1268,2299,3186,1557,2337,2628,2786,2421
"HAH_RS00685",977,1243,668,486,600,1277,1217,1018,901,1171,1256,1131,2537,3035,1932,2272,2377,2560,2314
"HAH_RS00690",657,638,441,281,265,858,661,471,522,605,628,719,1275,1359,1152,1471,1473,1418,1114
"HAH_RS00695",8659,11193,7049,5268,5826,19767,19734,13436,11851,20172,14760,10376,18900,20663,11686,17399,19906,21235,17298
"HAH_RS00700",2052,2607,1662,1094,1122,4497,4230,2697,2675,4590,3341,2527,3553,3924,2043,2962,3587,3817,3484
"HAH_RS00705",247,194,242,190,238,336,359,294,140,302,158,306,586,410,462,663,532,366,512
"HAH_RS00710",669,654,551,587,539,830,870,729,468,824,800,714,1032,951,842,1154,892,768,983
"HAH_RS00715",848,965,760,583,632,1483,1458,1082,1144,1479,1588,953,1403,1592,1091,1665,1825,1860,1449
"HAH_RS00720",15940,18446,12223,12411,14389,21262,19874,15848,12782,18322,20554,19091,35618,35322,20228,27630,27328,29838,30901
"HAH_RS00725",4868,5939,1892,3232,4082,5009,4203,2757,3190,2899,3641,5543,18837,19785,12360,12295,14064,17158,14920
"HAH_RS00730",7739,11404,3479,6331,8300,10191,8125,5885,5080,5891,6945,9394,36639,34133,21739,23564,26167,32466,28578
"HAH_RS00735",6876,8950,3668,4088,4583,9375,7423,4914,5231,6529,6081,7877,16855,15137,11475,12992,15072,16156,13405
"HAH_RS00740",12776,19671,6809,8284,9718,20518,16184,11168,10105,14571,13383,15195,31079,27843,20400,24902,27377,29014,25660
"HAH_RS00745",263,289,164,144,181,371,369,297,285,341,329,258,554,569,453,715,740,767,523
"HAH_RS00750",458,724,357,200,166,1168,1205,1071,717,1122,1542,491,595,386,876,1548,1267,878,426
"HAH_RS00755",77084,198053,48313,39876,42003,258698,187139,147871,110794,195283,217238,103573,230213,152017,231841,259538,302988,334535,134902
"HAH_RS00760",6225,7803,5029,1860,2080,8381,7989,6717,5578,7625,7729,6577,11515,12169,7572,9072,9327,10673,10410
"HAH_RS00765",6756,8874,4992,3850,4176,11571,10111,7007,7615,10249,8870,7676,11115,11777,8010,10319,10652,11431,10463
"HAH_RS19795",1199,1134,949,430,301,487,593,1056,276,297,650,927,4005,2831,4707,6061,3534,1385,3652
"HAH_RS00770",921,945,647,436,448,1412,1541,1192,1079,1295,1443,928,1922,1982,1649,2376,2801,2261,1678
"HAH_RS00775",2659,3267,1913,1018,1021,5497,5557,4815,3260,5218,4755,3289,6610,6939,7139,11500,13377,8860,6184
"HAH_RS00780",3817,5266,2632,2644,3554,7010,6932,5491,4313,6596,8465,4301,15924,13593,13266,20358,22638,13962,12748
"HAH_RS00785",479,467,360,288,284,596,555,498,371,495,591,535,755,852,530,759,692,733,631
"HAH_RS00790",331,439,307,367,447,1091,1382,996,847,1212,1288,351,1073,1717,1120,2632,2772,2568,897
"HAH_RS00795",74,91,86,117,93,165,127,104,71,97,124,111,196,219,155,215,218,205,186
"HAH_RS00800",27,32,27,61,65,33,40,37,42,39,44,37,124,117,78,95,107,89,132
"HAH_RS00805",36,20,26,43,60,30,47,23,29,26,40,37,126,108,58,58,82,52,100
"HAH_RS00810",26488,30414,16974,12422,13932,73220,46092,30496,46481,44616,57332,41378,34665,37397,42111,53062,98300,129893,42764
"HAH_RS00815",2844,3837,2359,2348,2457,5219,4599,3087,3052,4820,4281,3441,6371,6969,3209,4346,4715,5194,6313
"HAH_RS00820",2145,2227,1792,1620,1741,4392,4665,3057,3087,4992,3647,2353,3332,3979,1752,2629,3246,3808,3755
"HAH_RS00825",2683,2868,2468,2363,2593,6080,5766,4051,3979,6375,5491,3314,5020,6160,2704,4098,5107,6404,5331
"HAH_RS00830",537,559,386,275,239,838,821,549,608,761,781,600,964,1055,798,1105,1246,1107,839
"HAH_RS00835",2853,3353,2309,2562,2675,4686,3980,2580,2740,4092,3841,3356,7236,8117,5201,6802,7075,8051,6725
"HAH_RS00840",1000,1333,710,713,755,1604,1436,1058,992,1289,1352,1189,2231,2292,1517,1938,2065,2120,1972
"HAH_RS00845",5676,7256,3680,6745,8395,18801,15616,11045,10507,16637,19471,8028,21158,23720,25923,31386,35282,36588,17779
"HAH_RS00850",10314,11906,7427,6853,7251,20593,19154,12989,13080,19347,18499,12465,19175,19505,12944,18735,20309,19677,18221
"HAH_RS00855",1147,1299,890,745,903,1754,1724,1188,1239,1648,1683,1263,4082,4297,2368,3450,3579,3239,3113
"HAH_RS00860",2494,3406,2079,2358,2519,4623,4376,3046,2762,4359,4228,3133,6063,6510,3570,4633,4700,4904,5670
"HAH_RS00865",456,594,359,326,336,699,722,501,476,670,635,568,1112,1058,844,1131,1014,939,1072
"HAH_RS00870",4098,4917,3339,2590,2789,7306,7000,5081,4536,7170,7474,4927,8930,9216,5303,6341,6890,7444,8488
"HAH_RS00875",2567,3141,1966,1215,1194,3786,3961,2952,2847,3836,4361,2760,3801,3767,2257,3303,3203,3342,3646
"HAH_RS00880",433,104,629,2534,2534,126,99,62,90,76,104,411,1555,2093,147,194,233,472,1279
"HAH_RS00885",1812,2259,1362,1546,1760,2586,2392,1780,1595,2432,2124,2325,4213,3706,1897,2611,2739,2836,3443
"HAH_RS19800",2297,2642,2061,1921,1927,3093,2259,1479,1655,1785,2242,2786,4524,3992,3185,4233,4492,3882,4564
"HAH_RS00890",595,584,376,177,152,695,638,726,450,564,795,573,1502,1259,1578,2262,1983,1579,1210
"HAH_RS00895",3462,3742,3161,2243,2282,2883,2854,2256,1912,2750,2541,3545,8239,8571,2586,3747,3265,3234,7388
"HAH_RS19805",10546,14492,8276,336,366,532,344,300,217,309,390,10270,38855,26793,1638,1893,1681,1192,35883
"HAH_RS00900",225,240,176,166,166,396,245,154,212,213,218,263,380,384,389,371,605,652,499
"HAH_RS00905",3460,3946,2260,2838,3580,5472,4501,3127,3292,4689,3994,4363,6203,7836,4435,5543,7561,9424,5983
"HAH_RS00910",3084,3404,2240,1899,2018,5268,4591,3189,3799,4814,4529,4040,6282,7902,2619,3603,5534,6696,5890
"HAH_RS00915",1966,2288,1768,1550,1351,2016,1742,1470,980,1665,1453,1897,5997,4273,3105,4227,3527,2748,3983
"HAH_RS00920",686,620,645,447,456,233,220,431,167,181,286,638,2596,1676,1370,1989,919,553,1736
"HAH_RS00925",23,11,11,3,4,19,16,14,13,14,20,6,47,55,19,40,53,43,44
"HAH_RS00930",2422,2672,2103,2259,2242,5307,4714,2996,3183,5059,4092,2928,4071,4937,2410,3719,3981,4706,4177
"HAH_RS00935",193,340,82,47,76,166,127,116,86,132,137,205,701,637,872,917,640,454,571
"HAH_RS00940",150,197,141,78,79,178,235,246,118,227,241,160,550,520,365,454,385,366,499
"HAH_RS00945",4000,5136,3074,3694,3932,10791,10532,6444,5534,11131,7212,4931,9282,9315,4418,5888,6530,7152,8975
"HAH_RS00950",1743,2677,1108,588,685,1772,1519,1239,1058,1298,1569,1940,6810,6612,4678,5356,5003,4015,5730
"HAH_RS00955",57644,127772,35632,37636,39607,148594,106380,68740,65443,114360,111848,74600,140313,92323,135939,153440,156995,143453,82750
"HAH_RS00960",689,838,787,696,735,1173,1281,1083,727,1400,1374,822,1877,1743,1009,1646,1643,1473,1639
"HAH_RS00965",371,352,393,254,216,436,435,555,232,395,482,335,648,629,536,888,668,591,575
"HAH_RS00970",1435,1848,816,723,854,1374,1185,1027,809,1018,1134,1482,3310,3109,3270,4089,3551,2983,2299
"HAH_RS19810",206,195,166,317,379,303,230,179,129,177,163,235,350,417,547,643,809,823,323
"HAH_RS00975",126,113,115,183,233,211,145,123,103,121,116,176,253,241,425,371,617,643,196
"HAH_RS00980",1975,2864,1426,1299,1288,1507,1788,1956,850,1596,1849,1933,5603,4244,3164,3794,2448,1536,4674
"HAH_RS00985",12999,18232,9373,12884,14156,26748,23635,15986,15885,24419,22876,16110,30286,31612,18245,23664,27721,27905,26666
"HAH_RS00990",687,1088,518,450,487,885,724,666,516,665,713,744,2458,2181,2378,2832,2338,1800,1881
"HAH_RS00995",727,1084,545,540,656,847,677,568,392,660,677,826,2355,2129,1990,2446,2240,1682,1792
"HAH_RS01000",681,954,577,519,653,637,705,744,277,560,847,741,3404,2764,2086,2778,2115,1347,2863
"HAH_RS01005",512,892,272,266,315,1101,789,554,446,780,866,545,1014,1032,2289,2386,2361,1998,769
"HAH_RS01010",767,992,677,591,600,1544,1313,1060,939,1337,1561,934,1959,1995,1945,2861,2799,2379,1667
"HAH_RS01015",7941,10779,4945,4037,4646,10004,8252,5983,6775,8149,8366,8833,23992,22635,18025,20727,20215,15830,18698
"HAH_RS01020",761,634,522,143,147,532,507,349,444,440,515,779,1680,1647,749,918,1076,751,1674
"HAH_RS01025",10460,12709,7782,3259,3169,7584,6694,5416,4465,6162,7245,12492,39702,40381,12405,14349,14582,11345,30880
"HAH_RS01030",4978,5969,3602,1625,1724,3534,2812,2368,2035,2773,3912,5859,20637,21780,6641,7141,7265,5192,16460
"HAH_RS01035",6064,6834,4574,1933,2207,3815,3283,2791,2355,2956,4598,6866,23927,24387,8012,8656,8721,6363,18885
"HAH_RS01040",3027,4505,2651,2442,2628,4319,4260,3562,2735,3902,4278,3351,8471,7401,6348,8449,7360,6406,6865
"HAH_RS01045",1024,1065,548,301,334,2489,1632,1271,1373,1356,1386,1326,2162,2653,5653,6879,11325,9746,1873
"HAH_RS01050",8890,11805,6091,3896,4672,14983,13606,9365,8930,14390,11554,10941,18034,22084,8969,11256,13445,14968,18532
"HAH_RS01055",3531,3380,2188,26426,30018,4018,2746,1944,1931,1960,2007,3526,14751,15583,20357,16879,22361,19740,12483
"HAH_RS01060",261,317,253,343,427,574,532,445,372,563,587,359,669,645,428,688,789,669,598
"HAH_RS01065",17,23,18,23,18,61,39,38,35,32,39,23,78,115,105,170,193,187,61
"HAH_RS01070",1676,1775,1116,1112,1235,2861,2439,1656,1966,2590,2121,1948,3113,3365,1944,2757,2989,3048,2905
"HAH_RS01075",7000,7981,4938,3884,4639,12263,11171,7379,6830,10833,9096,8676,21206,25927,9635,12689,16110,18274,22321
"HAH_RS01080",5394,6127,4439,5403,6131,9705,8225,6037,5845,8268,8908,6300,12939,15488,7949,10896,13114,13948,13077
"HAH_RS01085",7144,8376,5550,6383,7305,13726,11085,7578,7758,11179,11323,8488,15719,19243,10008,12508,16288,18488,16501
"HAH_RS01090",502,511,347,186,208,686,886,787,526,712,939,508,1210,1134,1048,1468,1401,1311,1010
