COG,probability,expect,count,p_adjust,logp,cat
-,0.8309286063232908,4.25327277584825,2,0.8309286063232908,0.18521140078578177,trmB_consensus
C,0.09608165138579201,1.1114079615281858,2,0.14412247707868803,1.9370918056376267,trmB_consensus
E,0.02205966824196161,1.68314186481432,4,0.06617900472588484,2.715392015497422,trmB_consensus
G,8.956012565889324e-6,0.5343307507347047,5,5.3736075395335945e-5,9.83142598693132,trmB_consensus
S,0.6835212690930543,3.387656959658028,2,0.8202255229116652,0.19817594859603438,trmB_consensus
T,0.04216509495692766,0.790809511087363,2,0.08433018991385532,2.473015353366161,trmB_consensus
